Site,Date,Watershed,Rain/Snow,Precipitation.cm,NH4N.mgl,NO3N.mgl,NO2N.mgl,SO4S.mgl,PO4.mgl,Cl.mgl,F.mgl,Mg.mgl,Ca.mgl,K.mgl,Na.mgl,,,,,,,,,,
eiriksson,140820,Salt Lake,rain,1.68,0.47,0.39,0.01,0.25,0.00,0.81,0.02,0.17,1.98,0.20,0.38,,,,,,,,,,
eiriksson,140919,Salt Lake,rain,0.31,0.21,0.31,0.01,0.42,0.15,1.80,0.05,0.47,6.06,1.16,1.15,,,,,,,,,,
eiriksson,140922,Salt Lake,rain,0.71,0.89,0.24,0.01,0.33,0.42,0.36,0.03,0.34,2.83,3.69,0.20,,,,,,,,,,
eiriksson,141001,Salt Lake,rain,7.63,0.23,0.20,0.01,0.22,0.00,0.48,0.01,0.15,1.50,0.34,0.27,,,,,,,,,,
eiriksson,141115,Salt Lake,rain,0.28,0.47,0.67,0.04,0.87,0.00,2.46,0.04,0.29,6.27,0.69,1.29,,,,,,,,,,
eiriksson,141221,Salt Lake,rain,2.18,0.22,0.12,0.01,0.13,0.01,0.28,0.01,0.13,2.04,0.46,0.14,,,,,,,,,,
eiriksson,141223,Salt Lake,rain,1.33,0.16,0.05,0.01,0.09,0.00,0.22,0.01,0.09,1.52,0.00,0.11,,,,,,,,,,
eiriksson,141226,Salt Lake,rain,0.78,0.26,0.13,0.01,0.16,0.00,2.04,0.01,0.12,0.66,0.00,1.15,,,,,,,,,,
eiriksson,141229,Salt Lake,rain,0.71,0.39,0.26,0.01,0.22,0.02,8.04,0.01,0.05,0.55,0.00,4.87,,,,,,,,,,
eiriksson,150113,Salt Lake,rain,2.60,0.25,0.12,0.01,0.12,0.01,0.20,0.01,0.04,0.45,0.09,0.10,,,,,,,,,,
eiriksson,150120,Salt Lake,rain,0.53,0.42,0.28,0.03,0.49,0.00,3.25,0.03,0.14,1.62,0.08,1.97,,,,,,,,,,
eiriksson,150204,Salt Lake,rain,0.21,0.66,1.07,0.04,2.27,0.00,6.93,0.17,0.36,7.57,0.42,4.22,,,,,,,,,,
eiriksson,150210,Salt Lake,rain,0.61,0.47,0.38,0.00,0.69,0.02,1.63,0.04,0.35,2.61,1.33,0.93,,,,,,,,,,
GIRF,131204,Salt Lake,snow,1.01,0.17,0.12,0.00,0.11,0.00,1.38,0.00,0.03,0.60,0.07,0.95,,,,,,,,,,
GIRF,131208,Salt Lake,snow,0.60,0.25,0.37,0.00,0.09,0.01,2.70,0.03,0.02,0.54,0.04,1.69,,,,,,,,,,
GIRF,131222,Salt Lake,snow,1.92,0.36,0.33,0.00,0.13,0.01,1.12,0.01,0.00,0.41,0.04,0.67,,,,,,,,,,
GIRF,140110,Salt Lake,snow,1.48,0.35,0.32,0.00,0.19,0.00,2.04,0.00,0.02,0.33,0.05,1.19,,,,,,,,,,
GIRF,140131,Salt Lake,snow,0.68,0.19,0.13,0.00,0.10,0.00,0.60,0.01,0.00,0.23,0.02,0.38,,,,,,,,,,
GIRF,140204,Salt Lake,snow,0.37,0.43,0.50,0.00,0.17,0.01,3.36,0.04,0.11,2.15,0.09,1.94,,,,,,,,,,
GIRF,140228,Salt Lake,rain,2.54,0.19,0.13,0.00,0.12,0.01,1.22,0.01,0.07,0.70,0.07,0.23,,,,,,,,,,
GIRF,140429,Salt Lake,rain,2.96,0.42,0.27,0.01,0.83,0.00,2.21,0.02,0.26,2.45,0.17,1.79,,,,,,,,,,
