Site,Date,Watershed,Rain/Snow,Precipitation.cm,NH4N.mgl,NO3N.mgl,NO2N.mgl,SO4S.mgl,PO4.mgl,Cl.mgl,F.mgl,Mg.mgl,Ca.mgl,K.mgl,Na.mgl,,,,,,,,,,
USU,150112,Cache,rain,1.44,0.07,0.21,0.01,0.43,0.04,1.66,0.01,0.26,1.94,0.72,1.11,,,,,,,,,,
USU,150113,Cache,snow,1.40,0.15,0.12,0.00,0.04,0.00,0.06,0.00,0.02,0.32,0.00,0.05,,,,,,,,,,
USU,150129,Cache,rain,2.43,0.58,0.32,0.02,0.16,0.00,1.52,0.01,0.38,4.08,0.08,0.41,,,,,,,,,,
USU,150205,Cache,rain,1.42,0.46,0.18,0.01,0.21,0.00,0.67,0.02,0.18,3.25,0.07,0.47,,,,,,,,,,
USU,150211,Cache,rain,0.33,0.18,0.23,0.01,0.83,0.00,2.42,0.01,0.27,3.34,0.24,2.21,,,,,,,,,,
waterlab,140424,Cache,rain,2.01,0.10,0.28,0.03,5.93,0.00,15.53,0.02,0.97,10.76,0.77,16.29,,,,,,,,,,
waterlab,140426,Cache,rain,2.08,0.18,0.10,0.00,0.15,0.00,0.25,0.00,0.10,1.30,0.07,0.38,,,,,,,,,,
waterlab,140429,Cache,rain,0.61,0.39,0.09,0.00,0.11,0.01,0.20,0.00,0.07,0.63,0.04,0.06,,,,,,,,,,
waterlab,140507,Cache,rain,0.57,0.73,0.49,0.01,0.50,0.14,0.85,0.00,0.28,4.07,0.55,0.57,,,,,,,,,,
waterlab,140509,Cache,rain,1.43,0.32,0.15,0.00,0.13,0.00,0.18,0.00,0.12,2.00,0.07,0.10,,,,,,,,,,
waterlab,140510,Cache,rain,1.40,0.34,0.07,0.00,0.10,0.00,0.26,0.01,0.04,0.82,0.04,0.12,,,,,,,,,,
waterlab,140617,Cache,rain,1.66,0.98,0.40,0.01,0.45,0.18,2.19,0.01,0.36,4.82,0.80,1.58,,,,,,,,,,
waterlab,140620,Cache,rain,0.54,1.02,0.22,0.01,0.17,0.10,0.22,0.01,0.17,2.48,0.12,0.15,,,,,,,,,,
waterlab,140628,Cache,rain,0.96,1.56,0.53,0.01,0.56,0.88,1.84,0.11,0.26,3.10,0.50,1.32,,,,,,,,,,
waterlab,140712,Cache,rain,2.09,1.20,0.29,0.01,0.42,0.30,3.02,0.00,0.51,4.53,0.50,1.91,,,,,,,,,,
waterlab,140730,Cache,rain,1.43,0.53,0.52,0.01,0.42,0.06,0.89,0.01,0.36,3.62,0.81,0.58,,,,,,,,,,
waterlab,140806,Cache,rain,1.11,0.97,0.57,0.01,0.32,0.00,0.55,0.03,0.30,1.70,0.80,0.20,,,,,,,,,,
waterlab,140807,Cache,rain,0.44,0.38,0.19,0.00,0.11,0.05,0.82,0.01,0.29,1.17,0.10,0.40,,,,,,,,,,
waterlab,140813,Cache,rain,0.14,1.22,1.62,0.01,1.36,0.10,16.56,0.15,1.48,5.61,1.11,9.29,,,,,,,,,,
waterlab,140825,Cache,rain,3.72,0.48,0.29,0.00,0.18,0.01,0.31,0.01,0.15,1.23,0.08,0.18,,,,,,,,,,
waterlab,140828,Cache,rain,1.38,0.42,0.37,0.01,0.24,0.00,0.17,0.00,0.11,0.91,0.04,0.09,,,,,,,,,,
waterlab,140911,Cache,rain,1.82,0.29,0.42,0.01,0.26,0.00,0.82,0.01,0.22,1.78,0.18,0.51,,,,,,,,,,
waterlab,140923,Cache,rain,0.51,0.72,0.63,0.01,0.38,0.22,0.68,0.02,0.33,3.49,0.58,0.43,,,,,,,,,,
waterlab,140929,Cache,rain,4.49,0.19,0.10,0.00,0.08,0.00,0.21,0.01,0.08,0.90,0.07,0.15,,,,,,,,,,
waterlab,141002,Cache,rain,1.77,0.39,0.12,0.01,0.08,0.00,0.13,0.01,0.05,1.03,0.04,0.05,,,,,,,,,,
waterlab,141022,Cache,rain,0.24,0.60,1.05,0.01,0.87,0.06,3.14,0.02,0.69,9.01,1.17,2.01,,,,,,,,,,
waterlab,141103,Cache,rain,0.65,0.73,0.73,0.01,4.58,0.26,20.66,0.04,1.74,8.98,3.38,20.42,,,,,,,,,,
waterlab,141121,Cache,rain,1.57,0.26,0.27,0.01,0.19,0.01,0.76,0.01,0.31,4.49,0.17,0.48,,,,,,,,,,
waterlab,141125,Cache,snow,1.09,0.19,0.10,0.01,0.07,0.01,0.31,0.01,0.20,4.58,0.07,0.19,,,,,,,,,,
waterlab,141205,Cache,rain,0.49,0.31,0.32,0.01,0.29,0.01,1.24,0.01,0.30,4.92,0.12,0.89,,,,,,,,,,
waterlab,141215,Cache,rain,0.64,0.53,0.31,0.01,0.21,0.03,0.75,0.01,0.21,3.13,0.17,0.33,,,,,,,,,,
waterlab,150106,Cache,rain,1.71,0.30,0.16,0.01,0.06,0.01,0.20,0.01,0.15,1.60,0.02,0.11,,,,,,,,,,
waterlab,150113,Cache,snow,1.23,0.12,0.12,0.00,0.03,0.00,0.08,0.00,0.04,0.27,0.00,0.08,,,,,,,,,,
waterlab,150126,Cache,rain,2.26,0.30,0.19,0.01,0.08,0.00,0.60,0.06,0.18,1.13,0.07,0.54,,,,,,,,,,
waterlab,150129,Cache,rain,0.34,0.75,0.07,0.00,0.02,0.00,0.99,0.00,0.21,3.12,0.13,0.48,,,,,,,,,,
waterlab,150205,Cache,rain,1.53,0.33,0.15,0.00,0.14,0.00,0.23,0.01,0.07,0.89,0.03,0.14,,,,,,,,,,
waterlab,150211,Cache,rain,0.33,0.30,0.26,0.01,0.85,0.00,2.72,0.01,0.22,2.94,0.18,2.55,,,,,,,,,,
